4052		
0	1080	0
76	1080	0
784	1080	0
869	1080	0
1067	1080	0
4	1084	0
43	1084	0
290	1084	0
558	1084	0
573	1084	0
575	1084	0
918	1084	0
5	1085	0
18	1085	0
35	1085	0
80	1085	0
106	1085	0
119	1085	0
158	1085	0
180	1085	0
189	1085	0
215	1085	0
227	1085	0
230	1085	0
255	1085	0
298	1085	0
332	1085	0
341	1085	0
382	1085	0
412	1085	0
497	1085	0
580	1085	0
584	1085	0
604	1085	0
610	1085	0
625	1085	0
806	1085	0
830	1085	0
839	1085	0
873	1085	0
874	1085	0
938	1085	0
945	1085	0
975	1085	0
7	1087	0
201	1087	0
217	1087	0
229	1087	0
315	1087	0
337	1087	0
376	1087	0
427	1087	0
629	1087	0
635	1087	0
706	1087	0
707	1087	0
1020	1087	0
8	1088	0
47	1088	0
53	1088	0
377	1088	0
517	1088	0
520	1088	0
1057	1088	0
1059	1088	0
12	1104	0
125	1104	0
436	1104	0
499	1104	0
528	1104	0
652	1104	0
12	1105	0
113	1106	0
241	1106	0
241	1106	0
113	1107	0
241	1107	0
241	1107	0
113	1108	0
241	1108	0
241	1108	0
113	1109	0
241	1109	0
241	1109	0
113	1110	0
241	1110	0
241	1110	0
113	1111	0
241	1111	0
241	1111	0
113	1112	0
241	1112	0
113	1113	0
241	1113	0
113	1114	0
241	1114	0
113	1115	0
241	1115	0
113	1116	0
241	1116	0
113	1117	0
241	1117	0
241	1117	0
113	1118	0
241	1118	0
241	1118	0
113	1119	0
241	1119	0
241	1119	0
113	1120	0
241	1120	0
113	1121	0
241	1121	0
113	1123	0
241	1123	0
15	1124	0
927	1124	0
15	1125	0
927	1125	0
16	1126	0
483	1126	0
1068	1126	0
17	1127	0
52	1127	0
77	1127	0
100	1127	0
136	1127	0
248	1127	0
349	1127	0
353	1127	0
356	1127	0
370	1127	0
446	1127	0
447	1127	0
533	1127	0
545	1127	0
630	1127	0
693	1127	0
735	1127	0
738	1127	0
18	1129	0
80	1129	0
106	1129	0
119	1129	0
132	1129	0
158	1129	0
177	1129	0
180	1129	0
189	1129	0
215	1129	0
227	1129	0
230	1129	0
255	1129	0
319	1129	0
332	1129	0
341	1129	0
412	1129	0
463	1129	0
497	1129	0
584	1129	0
604	1129	0
610	1129	0
613	1129	0
