,CID,mol_id,action,CID_id,mol_id_id,id
149,5360696,189258,inhibitor,215,1129,0
150,4543,189258,inhibitor,227,1129,0
151,2170,189258,inhibitor,230,1129,0
152,4020,189258,inhibitor,255,1129,0
153,8223,189258,inhibitor,319,1129,0
154,43815,189258,inhibitor,332,1129,0
155,5584,189258,inhibitor,341,1129,0
156,7028,189258,inhibitor,412,1129,0
157,4011,189258,inhibitor,463,1129,0
158,681,189258,inhibitor,497,1129,0
159,2725,189258,inhibitor,584,1129,0
160,667468,189258,inhibitor,604,1129,0
161,2995,189258,inhibitor,610,1129,0
162,444,189258,inhibitor,613,1129,0
163,4601,189258,inhibitor,623,1129,0
164,146570,189258,inhibitor,625,1129,0
165,65833,189258,inhibitor,806,1129,0
166,4184,189258,inhibitor,830,1129,0
167,9838022,189258,inhibitor,839,1129,0
168,125017,189258,inhibitor,873,1129,0
169,154101,189258,inhibitor,874,1129,0
170,6917779,189258,inhibitor,938,1129,0
171,5284550,189258,inhibitor,975,1129,0
172,3878,532060,inhibitor,241,1131,0
173,3446,20372905,inhibitor,503,1133,0
174,65833,20372905,inhibitor,806,1133,0
175,3878,32324,inhibitor,241,1134,0
176,3878,34451,inhibitor,241,1135,0
177,21704,1334913,inhibitor,19,1136,0
178,4585,29371,inhibitor,113,1138,0
179,2249,29371,inhibitor,114,1138,0
180,3365,578119,inhibitor,21,1139,0
181,5353853,578119,inhibitor,50,1139,0
182,71616,578119,inhibitor,257,1139,0
183,3823,578119,inhibitor,528,1139,0
184,65863,578119,inhibitor,611,1139,0
185,2378,578119,inhibitor,785,1139,0
186,3003141,578119,inhibitor,942,1139,0
187,65028,60811,inhibitor,22,1140,0
188,65028,2773339,inhibitor,22,1141,0
189,3878,256155,inhibitor,241,1142,0
190,1676,256155,inhibitor,393,1142,0
191,3878,177892,inhibitor,241,1143,0
192,1676,177892,inhibitor,393,1143,0
193,2519,347122,inhibitor,23,1144,0
194,2519,347122,inhibitor,23,1144,0
195,2153,347122,inhibitor,75,1144,0
196,3182,347122,inhibitor,295,1144,0
197,4740,347122,inhibitor,383,1144,0
198,1676,347122,inhibitor,393,1144,0
199,4680,347122,inhibitor,583,1144,0
200,5429,347122,inhibitor,728,1144,0
201,3698,347122,inhibitor,736,1144,0
202,449193,347122,inhibitor,768,1144,0
203,44591583,347122,inhibitor,816,1144,0
204,3671,347122,inhibitor,820,1144,0
205,5531,347122,inhibitor,1003,1144,0
206,2519,1151109,inhibitor,23,1145,0
207,4474,1151109,inhibitor,279,1145,0
208,3333,1151109,inhibitor,525,1145,0
209,5531,1151109,inhibitor,1003,1145,0
210,2519,4958858,inhibitor,23,1146,0
211,3108,4958858,inhibitor,487,1146,0
212,4680,4958858,inhibitor,583,1146,0
213,5502,4958858,inhibitor,910,1146,0
214,5531,4958858,inhibitor,1003,1146,0
215,2519,347120,inhibitor,23,1147,0
216,2153,347120,inhibitor,75,1147,0
217,3182,347120,inhibitor,295,1147,0
218,4740,347120,inhibitor,383,1147,0
219,1676,347120,inhibitor,393,1147,0
220,3108,347120,inhibitor,487,1147,0
221,449193,347120,inhibitor,768,1147,0
222,44591583,347120,inhibitor,816,1147,0
223,3671,347120,inhibitor,820,1147,0
224,5502,347120,inhibitor,910,1147,0
225,5531,347120,inhibitor,1003,1147,0
226,2519,727223,inhibitor,23,1148,0
227,3182,727223,inhibitor,295,1148,0
228,449193,727223,inhibitor,768,1148,0
229,44591583,727223,inhibitor,816,1148,0
230,3671,727223,inhibitor,820,1148,0
231,5531,727223,inhibitor,1003,1148,0
232,2519,347130,inhibitor,23,1149,0
233,3182,347130,inhibitor,295,1149,0
234,449193,347130,inhibitor,768,1149,0
235,44591583,347130,inhibitor,816,1149,0
236,3671,347130,inhibitor,820,1149,0
237,5531,347130,inhibitor,1003,1149,0
238,2519,8439497,inhibitor,23,1150,0
239,3182,8439497,inhibitor,295,1150,0
240,5531,8439497,inhibitor,1003,1150,0
241,2519,2108052,inhibitor,23,1151,0
242,5502,2108052,inhibitor,910,1151,0
243,5531,2108052,inhibitor,1003,1151,0
244,2519,38201493,inhibitor,23,1152,0
245,4197,38201493,inhibitor,48,1152,0
246,2182,38201493,inhibitor,64,1152,0
247,2153,38201493,inhibitor,75,1152,0
248,3033825,38201493,inhibitor,455,1152,0
249,2754,38201493,inhibitor,617,1152,0
250,9433,38201493,inhibitor,657,1152,0
251,3698,38201493,inhibitor,736,1152,0
252,53708,38201493,inhibitor,804,1152,0
253,3671,38201493,inhibitor,820,1152,0
254,5502,38201493,inhibitor,910,1152,0
255,5531,38201493,inhibitor,1003,1152,0
256,2519,1145302,inhibitor,23,1153,0
257,5531,1145302,inhibitor,1003,1153,0
258,2519,3420185,inhibitor,23,1154,0
259,5212,3420185,inhibitor,25,1154,0
260,2153,3420185,inhibitor,75,1154,0
