"","CID_id","mol_id","action_id"
"2480",112,1467,0
"2018",833,1659,2
"1047",1017,1871,2
"3485",112,1441,0
"1165",876,1350,2
"929",251,1349,2
"3342",25,1320,0
"392",742,1291,1
"400",63,1345,1
"906",702,1278,2
"2139",170,1414,7
"2907",907,1772,0
"760",784,1381,1
"2013",501,1348,2
"504",315,1486,1
"2102",37,1260,7
"3139",264,1380,0
"1778",328,1337,2
"2165",443,1720,7
"3682",1139,1880,0
"1341",1098,1336,2
"256",349,1350,1
"3453",265,1264,0
"4039",683,1834,4
"1649",155,1259,2
"3319",321,1369,0
"3235",78,1411,0
"69",786,1440,1
"2978",1203,1488,0
"3028",911,1282,0
"940",124,1390,2
"2749",187,1366,0
"1978",1110,1522,2
"2606",125,1261,0
"601",895,1345,1
"3804",511,1362,0
"785",1190,1937,2
"3192",265,1286,0
"3301",225,1492,0
"1708",177,1321,2
"2062",1131,1337,2
"2138",682,1573,7
"2664",265,1273,0
"3836",57,1377,0
"3553",456,1417,0
"291",916,1345,1
"3482",789,1380,0
"1811",518,1345,2
"343",739,1858,1
"378",690,1386,1
"296",473,1734,1
"1351",708,1242,2
"3072",659,1238,0
"2870",759,1553,0
"3548",304,1620,0
"3538",785,1500,0
"1617",791,1341,2
"1212",791,1386,2
"2359",527,1587,0
"793",125,1349,2
"274",171,1260,1
"2979",625,1238,0
"2299",671,1612,5
"780",1017,1380,2
"2007",325,1336,2
"2000",452,1414,2
"1816",1138,1345,2
"3029",422,1710,0
"3174",861,1419,0
"75",716,1345,1
"1995",794,1259,2
"3904",112,1459,0
"1865",375,1384,2
"2148",148,1386,7
"3037",809,1282,0
"1236",716,1391,2
"947",1048,1384,2
"2775",861,1449,0
"1791",61,1343,2
"2975",728,1855,0
"1258",716,1341,2
"2278",918,1345,11
"3341",1168,1583,0
"781",935,1341,2
"1183",710,1285,2
"19",1104,1768,10
"1380",1197,1274,2
"3351",175,1411,0
"1317",648,1321,2
"1625",1111,1410,2
"1899",1039,1321,2
"995",21,1278,2
"2412",175,1450,0
"333",68,1397,1
"1134",1059,1929,2
"490",1083,1387,1
"3441",1019,1328,0
"2908",386,1282,0
"359",360,1386,1
"1615",254,1321,2
"758",546,1343,1
"2633",296,1611,0
"1211",881,1898,2
"3049",540,1335,0
"1721",1111,1524,2
"3188",337,1644,0
"2937",183,1418,0
"3853",28,1325,0
"2632",25,1306,0
"3943",100,1441,0
"2966",23,1294,0
"1540",906,1350,2
"341",1081,1283,1
"2844",952,1532,0
"1006",710,1386,2
"2935",738,1373,0
"3378",855,1380,0
"1339",125,1321,2
"3460",341,1647,0
"789",393,1667,2
"2124",146,1327,7
"2637",25,1306,0
"4025",433,1718,13
"1095",1193,1369,2
"3497",900,1310,0
"2501",270,1550,0
"677",360,1343,1
"1868",1132,1335,2
"534",939,1353,1
"2820",580,1617,0
"2704",1175,1794,0
"3284",1036,1925,0
"3657",265,1392,0
"865",935,1285,2
"3079",604,1573,0
"3775",472,1257,0
"1218",80,1416,2
"236",910,1509,1
"1160",1113,1412,2
"1945",613,1254,2
"150",1105,1618,1
"414",348,1343,1
"1767",1162,1969,2
"2295",634,1358,5
"3886",403,1677,0
"1733",1007,1341,2
"1260",716,1389,2
"2746",975,1412,0
